"Alle Angebote der KuB sind kostenlos","تقدم كوب جميع خدماتها دون مقابل."
"Alleinerziehende","الأمهات العازبات"
"Alle Kurse gibt es pro Woche 1-mal, 2-mal oder 3-mal.","تجري جميع الدورات مرة أو مرتين أو ثلاث مرات أسبوعياً."
"Alphabetisierung","دورة محو الأمية"
"Angebote","الخدمات"
"Anmeldung","التسجيل"
"Außerdem helfen wir Ihnen bei den Lösungswegen.","نساعدك كذلك في إيجاد الحلول الممكنة."
"bei **Fragen zum Aufenthaltsrecht, zum Asylrecht und zum Sozialrecht**","في **القضايا المرتبطة بحق الإقامة وحق اللجوء وقانون المساعدات الاجتماعية**"
"bei **psychischen und sozialen Problemen**","في **المشاكل الاجتماعية والصحة النفسية**"
"Beratung für geflüchtete Frauen*","استشارات للنساء"
"Beratungszeiten","ساعات الاستشارة"
"Beratung zu Asyl und Aufenthalt","اﻠﻤﺳﺎﻋﺩﺓ القانونية في حق اللجوء ﻭالإﻗﺎﻣﺓ"
"Betroffene von häuslicher Gewalt","ضحايا العنف المنزلي"
"Betroffene von sexualisierter Gewalt","ضحايا العنف الجنسي"
"**Bitte bringen Sie alle Papiere mit**, die für die Beratung wichtig sind. Zum Beispiel:","**الرجاء التأكد من إحضار جميع الوثائق الهامة إلى الاستشارة**. على سبيل المثال:"
"Bitte haben Sie Verständnis, wenn Sie warten müssen.","نقدر صبركم أثناء انتظار الدخول إلى الجلسة الاستشارية."
"Bürozeiten","أوقات الدوام"
"Dabei beachten wir, was für Sie wichtig ist.","نقوم بالتركيز على الأمور التي تهمك أنت."
"Dafür schaffen wir eine geschützte Atmosphäre.","قمنا باستحداث بيئة آمنة من أجل ذلك."
"Das Büro ist in der Regel offen:","أوقات الدوام الاعتيادية في المكتب هي في أيام:"
"Das ist dein 1. Deutsch-Kurs.","هذه هي دورتك الأولى في اللغة الألمانية."
"Das ist dein 2. Deutsch-Kurs.","هذه هي دورتك الثانية في اللغة الألمانية."
"Das ist dein 3. Kurs.","هذه هي دورتك الثالثة في اللغة الألمانية."
"Das ist dein 4. Kurs.","هذه هي دورتك الرابعة في اللغة الألمانية."
"Das sind vor allem:","بخاصة منهن:"
"Dein 5., 6. oder 7. Deutsch-Kurs.","هذه هي دورتك الخامسة أو السادسة أو السابعة في اللغة الألمانية."
"den Brief vom Rechtsanwalt/von der Rechtsanwältin.","الرسائل التي استلمتها من المحامي أو المحامية."
"Der Tag ist immer der erste Freitag im Monat.","دائماً في يوم الجمعة الأول من كل شهر."
"Deutschkurse","دورات في اللغة الألمانية"
"Deutsch lernen","تعلم اللغة الألمانية"
"Die Frauen*beratung der KuB richtet sich an **geflüchtete Frauen, die besonderen Schutz brauchen**.","الاستشارة النسائية* في كوب موجهة **للنساء اللاجئات اللواتي يحتجن إلى حماية خاصة**."
"Die KuB ist Teil von dem „Berliner Netzwerk für besonders schutzbedürftige Flüchtlinge“ (BNS).","كوب هي جزء من شبكة منظمات برلينية تقدم الدعم للاجئين الذين يحتاجون إلى حماية خاصة (BNS – Berliner Netzwerk für besonders schutzbedürftige Flüchtlinge)."
"Diese Menschen übersetzen dann für Sie von Deutsch in Ihre Sprache und umgekehrt.","إنهم أشخاص مستعدون للترجمة بين اللغة الألمانية واللغة التي تتحدثينها."
"Die Uhrzeit ist 15:30 Uhr.","الوقت: الساعة 15:30 بعد الظهر."
"Du bist Mutter von einem kleinen Kind?","هل أنت أم لطفل صغير؟"
"Du hast keine Probleme im Alltag.","أنت تستطيع تدبر أمرك في الحياة اليومية."
"Du kommst zu uns in die KuB.","تعال إلينا في كوب."
"Du lernst lesen und schreiben.","أنت تتعلم القراءة والكتابة."
"Du sprichst Deutsch ein bisschen.","أنت تتحدث الألمانية قليلاً."
"Du sprichst Deutsch ganz gut.","أنت تتحدث اللغة الألمانية بشكل جيد."
"Du sprichst ein bisschen Deutsch.","أنت تتحدث الألمانية قليلاً."
"Du übst hier vor allem, Deutsch sprechen.","ستمارس هنا قبل كل شيء المحادثة باللغة الألمانية."
"Ein Kurs geht 6 Monate.","تستمر الدورة لمدة 6 أشهر."
"E-Mail","بريد إلكتروني"
"Es gibt mehrere Kurse:","توجد دورات مختلفة:"
"Es ist auch ein Kurs zum Sprechen da.","في هذه الدورة سيتم التركيز على المحادثة."
"Es kann einige Zeit dauern, bis wir Sie beraten können.","فقد يطول وقت الانتظار للحصول على الاستشارة تبعاً لعدد الأشخاص الموجودين."
"Fax","فاكس"
"Gemeinsam erarbeiten wir Wege, wie Sie Ihre Probleme lösen.","نبحث معاً عن طرق تمكنك من تجاوز مشاكلك."
"immer von 9:30 bis 12:30 Uhr","من الساعة 9.30 صباحاً حتى الساعة 12.30 ظهراً"
"Im Mutter-Kind-Kurs lernst du Deutsch. Wir kümmern uns um dein Kind, wenn du im Deutsch-Kurs bist. Für diesen Kurs musst du nicht zur Anmeldung kommen.","في دورة أم مع طفل ستتعلمين أنت اللغة الألمانية، وسنعتني نحن بطفلك خلال فترة الدرس. التسجيل غير ضروري لحضور هذه الدورة."
"In dem Netzwerk ist die KuB die Frauenfachstelle.","ضمن هذه الشبكة، كوب هي المختصة بمساعدة النساء."
"In diesem Kurs für neu Beginnende kannst du schon lesen und schreiben. Du sprichst Deutsch noch gar nicht. Du lernst hier Deutsch sprechen und verstehen.","هذه دورة للمبتدئين. أنت سبق أن تعلمت القراءة والكتابة، ولكنك لا تعرف شيئاً عن اللغة الألمانية بعد. ستتعلم هنا التحدث وفهم اللغة الألمانية."
"Informationen:","معلومات:"
"Internet","إنترنت"
"Kommen Sie bitte persönlich in die KuB.","نرجو أن تحضر شخصياً إلى كوب."
"Kontakt","الاتصال"
"Kontakt- und Beratungstelle für Flüchtlinge und Migrant_innen e.V.","Kontakt- und Beratungstelle für Flüchtlinge und Migrant_innen e.V."
"Konversations-Kurs:","دورة المحادثة:"
"Manchmal können wir Sie an dem Tag auch nicht beraten, weil so viele Ratsuchende zu uns kommen. Auch dafür bitten wir Sie um Verständnis.","قد لا يكون بوسعنا أحياناً تقديم الاستشارة في اليوم نفسه لكثرة عدد الموجودين. نرجو تفهمكم في تلك الحالات."
"Mit B2 darfst du an einer Universität studieren.","يسمح لك الدراسة في الجامعة بعد إنهاء هذا المستوى."
"Mittwochs haben wir nur für Frauen* geöffnet (13:00 - 17:00 Uhr)","الأربعاء نحن نفتح للنساء فقط (من الساعة 1 بعد الظهر للساعة 5 مساءً)"
"Montag, Dienstag, Donnerstag und Freitag","الإثنين، الثلاثاء، الخميس والجمعة"
"Mutter-Kind-Kurs:","دورة أم مع طفل:"
"Oder rufen Sie uns an:","أو اتصل بنا هاتفياً:"
"Oder schreiben Sie uns eine E-Mail:","أو أرسلي لنا بريداً إلكترونياً:"
"Oder Sie machen einen Termin bei uns.","أو قم بحجز موعد معنا."
"Ohne Anmeldung: jeden Montag von 9:00 bis 11:00 Uhr","بلا موعد مسبق: كل يوم إثنين من الساعة 9:00 إلى 11:00 صباحاً "
"Papiere vom Bundesamt für Migration und Flüchtlinge (BAMF), von der Ausländerbehörde, vom Jobcenter und so weiter.","وثائق المكتب الاتحادي للهجرة واللاجئين (بامف)، سلطة الأجانب، مكتب العمل (جوب سنتر)، إلخ..."
"Rufen Sie uns bitte an:","نرجو أن تتصلي بنا:"
"Schreiben Sie uns dafür eine E-Mail:","من أجل تحديد الموعد، أرسل لنا رسالة عبر البريد الإلكتروني:"
"Schwangere","النساء الحوامل"
"Sie entscheiden, worüber wir reden.","أنت تقرر موضوع الحديث."
"Sie gehen keine Verpflichtungen ein.","لا يعود الأمر عليك بأي التزامات."
"Sie können sich um 9:00 Uhr bei uns im Büro zur Beratung anmelden. Bei Fragen rufen Sie uns an:","بإمكانك تسجيل حضورك في المكتب للحصول على استشارة في تمام الساعة 9:00 صباحاً. إذا كانت لديك أي استفسارات يمكنك الاتصال بنا على هذا الرقم:"
"Sie können zu uns kommen:","يمكنك الحضور إلينا:"
"Spendenkonto","التبرعات"
"Sprechzeiten und Anmeldung","ساعات العمل والمواعيد"
"Telefon","هاتف"
"und weitere Angebote.","بالإضافة إلى عروض أُخرى."
"Unsere Beraterinnen sehen sich Ihre ganze Situation an und unterstützen Sie dann.","أخصائياتنا من النساء يقمن بإلقاء نظرة تفصيلية على حالتك ويقدمن لك الدعم المناسب."
"Unterstützung durch Gespräche","الدعم من خلال المحادثة "
"Versuchen Sie es einfach!","قم بالتجربة فحسب!"
"von 9:00 bis 17:00 Uhr","من الساعة 9:00 صباحاً إلى 17:00 بعد الظهر"
"Wenn Sie das wünschen, können wir Sie auch anonym beraten. Sie müssen uns dann nicht Ihren Namen nennen.","وقوفاً عند رغبتك، يمكننا أن نقدم لك استشارتنا على نحو مجهول دون الحاجة للتصريح باسمك."
"Wenn Sie eine Beratung brauchen:","حين تحتاجين الحصول على استشارة:"
"Wenn Sie eine*n Sprachmittler*in bei der Beratung dabei haben wollen, rufen Sie bitte vorher bei uns an.","إذا كنت تحتاج إلى مساعدة مترجم أو مترجمة أثناء حصولك على الاستشارة، نرجو أن تتصل بنا مسبقاً لتعلمنا بذلك."
"Wenn Sie immer an schlimme Dinge denken müssen.","إن كانت تراودك أفكار سلبية في أغلب الأوقات."
"Wenn Sie mit jemandem reden wollen.","إن كنت ترغب بالتحدث مع أحد."
"Wenn Sie mit jemandem über Ihre Probleme reden wollen.","إن كنت ترغب بالتحدث مع أحد حول مشاكلك."
"Wenn Sie nicht wissen, wie Sie weiterleben sollen.","إن لم تكن تعرف كيفية الاستمرار بحياتك."
"Wenn Sie oft und große Angst haben.","إن كنت تشعر بالقلق والخوف في أغلب الأوقات."
"Wenn Sie Probleme mit Ihren Freund*innen haben.","إن كنت تواجه مشاكل مع أصدقائك أو صديقاتك."
"Wenn Sie Probleme mit Ihrer Familie haben.","إن كنت تواجه مشاكل مع أفراد عائلتك."
"Wenn Sie schlecht schlafen.","إن كنت تواجه مشاكل في النوم."
"Wenn Sie sehr oft traurig sind.","إن كنت تشعر بالحزن الشديد في أغلب الأوقات."
"Wenn Sie sich einsam fühlen.","إن كنت تشعر بالوحدة."
"Wenn Sie sich hilflos fühlen.","إن كنت تشعر بالعجز."
"Wenn Sie sich nicht konzentrieren können.","إن لم تكن قادراً على التركيز."
"Wenn zu viele Gedanken in Ihrem Kopf sind.","إن كانت تستحوذ على رأسك أفكار كثيرة."
"**Wir beraten auf verschiedenen Sprachen**, zum Beispiel Arabisch, Deutsch, Englisch, Italienisch, Kurdisch, Spanisch, Dari, Farsi, Französisch, und so weiter.","**نقدم خدماتنا الاستشارية بعدة لغات**، منها: العربية، الألمانية، الإنجليزية، الإيطالية، الكردية، الإسبانية، الدرية، الفارسية، الفرنسية، ولغات أخرى."
"Wir beraten nicht am Telefon und nicht per E-Mail.","نحن لا نقدم الاستشارات هاتفياً ولا عن طريق البريد الإلكتروني."
