"Alle Angebote der KuB sind kostenlos","All KuB services are free of charge."
"Alleinerziehende","Single mothers"
"Alle Kurse gibt es pro Woche 1-mal, 2-mal oder 3-mal.","All courses take place 1, 2 or 3 times per week."
"Alphabetisierung","Alphabetisation"
"Angebote","Services"
"Anmeldung","Registration"
"Außerdem helfen wir Ihnen bei den Lösungswegen.","We'll also help you to find possible solutions."
"bei **Fragen zum Aufenthaltsrecht, zum Asylrecht und zum Sozialrecht**","On **questions concerning residency rights, asylum rights and social assistance law**"
"bei **psychischen und sozialen Problemen**","On **psychological or social problems**"
"Beratung für geflüchtete Frauen*","Counselling for women* refugees"
"Beratungszeiten","Counselling hours"
"Beratung zu Asyl und Aufenthalt","Counselling on asylum and residency"
"Betroffene von häuslicher Gewalt","Women affected by domestic violence"
"Betroffene von sexualisierter Gewalt","Women affected by sexual violence"
"**Bitte bringen Sie alle Papiere mit**, die für die Beratung wichtig sind. Zum Beispiel:","**Please bring all your documents with you** that are important for the counselling session. For example:"
"Bitte haben Sie Verständnis, wenn Sie warten müssen.","We ask for your patience if you have to wait for a counselling session."
"Bürozeiten","Office hours"
"Dabei beachten wir, was für Sie wichtig ist.","We will focus on what's important to you."
"Dafür schaffen wir eine geschützte Atmosphäre.","We've created a safe atmosphere for you."
"Das Büro ist in der Regel offen:","Our regular office hours are:"
"Das ist dein 1. Deutsch-Kurs.","This is your 1st German course."
"Das ist dein 2. Deutsch-Kurs.","This is your 2nd German course."
"Das ist dein 3. Kurs.","This is your 3rd German course."
"Das ist dein 4. Kurs.","This is your 4th German course."
"Das sind vor allem:","In particular:"
"Dein 5., 6. oder 7. Deutsch-Kurs.","This is your 5th, 6th or 7th German course."
"den Brief vom Rechtsanwalt/von der Rechtsanwältin.","Letters from your lawyer."
"Der Tag ist immer der erste Freitag im Monat.","Day: The 1st Friday of the month."
"Deutschkurse","German courses"
"Deutsch lernen","German courses"
"Die Frauen*beratung der KuB richtet sich an **geflüchtete Frauen, die besonderen Schutz brauchen**.","KuB's counselling for women* is focused on **women refugees who need special protection**."
"Die KuB ist Teil von dem „Berliner Netzwerk für besonders schutzbedürftige Flüchtlinge“ (BNS).","KuB is part of a Berlin-based network that supports refugees in need of special protection (BNS – Berliner Netzwerk für besonders schutzbedürftige Flüchtlinge). "
"Diese Menschen übersetzen dann für Sie von Deutsch in Ihre Sprache und umgekehrt.","They can translate between German and your language."
"Die Uhrzeit ist 15:30 Uhr.","Time: 15:30."
"Du bist Mutter von einem kleinen Kind?","Are you the mother of a small child?"
"Du hast keine Probleme im Alltag.","You get by well in everyday life."
"Du kommst zu uns in die KuB.","You come to us at KuB."
"Du lernst lesen und schreiben.","You learn to read and write."
"Du sprichst Deutsch ein bisschen.","You can speak a little German."
"Du sprichst Deutsch ganz gut.","You can speak German quite well."
"Du sprichst ein bisschen Deutsch.","You can speak some German."
"Du übst hier vor allem, Deutsch sprechen.","You'll mostly practice having conversations in German."
"Ein Kurs geht 6 Monate.","One course is 6 months long."
"E-Mail","Email"
"Es gibt mehrere Kurse:","There are various courses:"
"Es ist auch ein Kurs zum Sprechen da.","In this course you'll work on speaking."
"Es kann einige Zeit dauern, bis wir Sie beraten können.","Depending on the daily demand, it might take some time for your turn."
"Fax","Fax"
"Gemeinsam erarbeiten wir Wege, wie Sie Ihre Probleme lösen.","Together we'll look for ways that you can deal with your problems."
