"Alle Angebote der KuB sind kostenlos","همه ی پیشنهاد ها در KuB رایگان هستند"
"Alleinerziehende","زن هایی که به تنهایی خانه داری را به دوش دارند"
"Alle Kurse gibt es pro Woche 1-mal, 2-mal oder 3-mal.","همه کلاسها یکبار یا دوبار یا سه بار در هفته تشکیل می‌شوند."
"Alphabetisierung","حرف / الفبا آموزی"
"Angebote","پیشنهاد ها "
"Anmeldung","معرفی وثبت نام"
"Außerdem helfen wir Ihnen bei den Lösungswegen.","همچنین ما شما را برای یافتن راه حل ها کمک میکنیم."
"bei **Fragen zum Aufenthaltsrecht, zum Asylrecht und zum Sozialrecht**","برای **زن ها در موارد حق اقامت، حق پناهندگی وحق اجتماعی**"
"bei **psychischen und sozialen Problemen**","در **موارد مشکلات روانی و اجتماعی**"
"Beratung für geflüchtete Frauen*","مشاوره برای زنان پناه جو "
"Beratungszeiten","زمان مشاوره"
"Beratung zu Asyl und Aufenthalt","مشاوره برای پناهندگی واقامت"
"Betroffene von häuslicher Gewalt","آن هایی که مورد خشونت خانوادگی قرار دارند"
"Betroffene von sexualisierter Gewalt","آن هایی که مورد خشونت جنسی قرار دارند "
"**Bitte bringen Sie alle Papiere mit**, die für die Beratung wichtig sind. Zum Beispiel:","لطفاً همه یکاغذ های را که برای مشاوره مهم استند، با خود بیاورید. مانند:"
"Bitte haben Sie Verständnis, wenn Sie warten müssen.","در صورت انتظار لطفاً تفاهم داشته باشید."
"Bürozeiten","ساعات کار دفتر"
"Dabei beachten wir, was für Sie wichtig ist.","ما در این زمینه توجه به آن داریم ، که چه چیزی برای شما مهم است."
"Dafür schaffen wir eine geschützte Atmosphäre.","ما برای این کار یک فضای قابل اطمینان ایجاد می کنیم."
"Das Büro ist in der Regel offen:","دفتر معمولاًدر این ساعت ها باز است:"
"Das ist dein 1. Deutsch-Kurs.","این اولین کورس زبان آلمانی شماست."
"Das ist dein 2. Deutsch-Kurs.","این دومین کورس زبان آلمانی شماست."
"Das ist dein 3. Kurs.","این سومین کورس زبان آلمانی شماست."
"Das ist dein 4. Kurs.","این چهارمین کورس زبان المانی شماست."
"Das sind vor allem:","این ها بیشتر مهم ترین اند:"
"Dein 5., 6. oder 7. Deutsch-Kurs.","می تواند کورس پنجم ، ششم یا هفتم شما باشد."
"den Brief vom Rechtsanwalt/von der Rechtsanwältin.","نامه ی وکیل."
"Der Tag ist immer der erste Freitag im Monat.","این روز همیشه اولین جمعه در ماه است."
"Deutschkurse","کورس های زبان آلمانی"
"Deutsch lernen","یاد گرفتن زبان آلمانی "
"Die Frauen*beratung der KuB richtet sich an **geflüchtete Frauen, die besonderen Schutz brauchen**.","هدف از مشاوره ی KuB برای زن ها ،مشاروره برای آن عده زن هایی است که به پشتیبانی ویژه نیاز دارند."
"Die KuB ist Teil von dem „Berliner Netzwerk für besonders schutzbedürftige Flüchtlinge“ (BNS).","KuB یک بخشی از شبکه ی برلین برای پناهندگان بویژه نیازمند و آسیب پذیر است."
"Diese Menschen übersetzen dann für Sie von Deutsch in Ihre Sprache und umgekehrt.","این همکاران ما برای شما از زبان آلمانی به زبان شما و بر عکس آن ترجمه میکنند."
"Die Uhrzeit ist 15:30 Uhr.","به ساعت 15:30."
"Du bist Mutter von einem kleinen Kind?","شما مادر فرزندی خوردسال استید؟"
"Du hast keine Probleme im Alltag.","شما اکنون هیچ مشکلی در صحبت روزانه ندارید."
"Du kommst zu uns in die KuB.","شما به KuB می آیید."
"Du lernst lesen und schreiben.","شما خواندن و نوشتن را یاد میگیرید."
"Du sprichst Deutsch ein bisschen.","شما یک کم آلمانی صحبت می کنید."
"Du sprichst Deutsch ganz gut.","شما خوب آلمانی صجبت میکنید."
"Du sprichst ein bisschen Deutsch.","شما هنوز هم کم آلمانی صحبت می کنید."
"Du übst hier vor allem, Deutsch sprechen.","شما اینجا بیشتر از همه صحبت وگفت وگو را تمرین میکنید."
"Ein Kurs geht 6 Monate.","مدت هر کلاس ۶ ماه است."
"E-Mail","ایمیل"
"Es gibt mehrere Kurse:","کلاسهای متفاوت وبیشتری جود دارند:"
"Es ist auch ein Kurs zum Sprechen da.","هم کورسی برای صحبت و مکالمه وجود دارد."
"Es kann einige Zeit dauern, bis wir Sie beraten können.","شاید مدتی طول بکشد تا ما به شما مشاوره بدهیم."
"Fax","فاکس"
"Gemeinsam erarbeiten wir Wege, wie Sie Ihre Probleme lösen.","ما همراه با شما راه هایی را جستجو می کنیم که چگونه شما برمشکلات تان غلبه کنید."
"immer von 9:30 bis 12:30 Uhr","همواره از ساعت 9:30 تا ساعت 12:30"
"Im Mutter-Kind-Kurs lernst du Deutsch. Wir kümmern uns um dein Kind, wenn du im Deutsch-Kurs bist. Für diesen Kurs musst du nicht zur Anmeldung kommen.","در کلاسهای مادر-فرزند ما شما زبان آلمانی می آموزید. ما از کودک خردسال شما وقتی شما سر کلاس هستید مراقبت می‌کنیم.برای این کورس شما ضرورنیست برای ثبت نام بیایید."
"In dem Netzwerk ist die KuB die Frauenfachstelle.","در این شبکه KuB محل ویژه مشاوره برای زن ها است."
"In diesem Kurs für neu Beginnende kannst du schon lesen und schreiben. Du sprichst Deutsch noch gar nicht. Du lernst hier Deutsch sprechen und verstehen.","در این کورس که برای نو آموزان است ، شما میتوانید خواندن و نوشتن را یاد بگیرید.شما این جا در حالی که هنوز اصلاً آلمانی صحبت نمی کنید صحبت کردن فهمیدن زبان آلمانی را می آموزید. این اولین کورس زبان آلمانی شماست."
"Informationen:","اطلاعات:"
"Internet","اینترنت"
"Kommen Sie bitte persönlich in die KuB.","لطفاً خود تان شخصاً به KuB بیایید."
"Kontakt","تماس"
"Kontakt- und Beratungstelle für Flüchtlinge und Migrant_innen e.V.","باشگاه همگانی و ثبت شده ی تماس و مشاوره با پناهندگان و مهاجرین "
"Konversations-Kurs:","کورس های گفت وگو:"
"Manchmal können wir Sie an dem Tag auch nicht beraten, weil so viele Ratsuchende zu uns kommen. Auch dafür bitten wir Sie um Verständnis.","ما بعضاً نمیتوانیم در روز مراجعه تان شما را مشاوره بدهیم ، برای این که مشوره جویان زیادی پیش مامی آیند. هم از این رو تفاهم شما را خواهانیم."
"Mit B2 darfst du an einer Universität studieren.","با خاتمه ی کورس B 2 شما میتوانید در دانشگاه تحصیل کنید."
"Mittwochs haben wir nur für Frauen* geöffnet (13:00 - 17:00 Uhr)","چهارشنبه‌ها فقط مشاوره زنان* انجام میشود (از ساعت 13:00 تاساعت 17:00)"
"Montag, Dienstag, Donnerstag und Freitag","دوشنبه، سه شنبه، پنج شنبه و جمعه"
"Mutter-Kind-Kurs:","کورس مادر - فرزند:"
"Oder rufen Sie uns an:","یا به ما تلفن کنید:"
"Oder schreiben Sie uns eine E-Mail:","یا به ما ایمیل بنویسید E-Mail:"
"Oder Sie machen einen Termin bei uns.","یا با قرار قبلی."
"Ohne Anmeldung: jeden Montag von 9:00 bis 11:00 Uhr","بدون قرار از قبل : از ساعت9:00 تا ساعت 11:00"
"Papiere vom Bundesamt für Migration und Flüchtlinge (BAMF), von der Ausländerbehörde, vom Jobcenter und so weiter.","کاغذ ها ونامه های اداره ی فدرال برای مهاجرت وپناهندگی (BAMF)، اداره ی خارجی ها Ausländerbehörde ومرکز کاریابی Jobcenter و غیره."
