"Alle Angebote der KuB sind kostenlos","Tous les services de la KuB sont gratuits."
"Alleinerziehende","des mères célibataires"
"Alle Kurse gibt es pro Woche 1-mal, 2-mal oder 3-mal.","Les cours ont lieu 1 fois, 2 fois ou 3 fois par semaine."
"Alphabetisierung","Alphabétisation"
"Angebote","Nos services"
"Anmeldung","Inscription"
"Außerdem helfen wir Ihnen bei den Lösungswegen.","Nous vous aidons aussi à mettre les solutions en place."
"bei **Fragen zum Aufenthaltsrecht, zum Asylrecht und zum Sozialrecht**","sur les **questions liées au permis de séjour, au droit d'asile et aux droits sociaux**"
"bei **psychischen und sozialen Problemen**","si vous avez des **problèmes psychologiques et sociaux**"
"Beratung für geflüchtete Frauen*","Conseils pour femmes* réfugiées"
"Beratungszeiten","Horaires de consultation"
"Beratung zu Asyl und Aufenthalt","Conseil sur le droit d'asile et le droit de résidence"
"Betroffene von häuslicher Gewalt","des femmes victimes de violence conjugale"
"Betroffene von sexualisierter Gewalt","des femmes victimes de violences sexuelles"
"**Bitte bringen Sie alle Papiere mit**, die für die Beratung wichtig sind. Zum Beispiel:","**Merci d'apporter tous les documents** importants pour la consultation. Par exemple :"
"Bitte haben Sie Verständnis, wenn Sie warten müssen.","Vous devrez sans doute patienter. Merci de votre compréhension."
"Bürozeiten","Horaires du secrétariat"
"Dabei beachten wir, was für Sie wichtig ist.","Nous tenons compte de ce qui est important pour vous."
"Dafür schaffen wir eine geschützte Atmosphäre.","Pour cela, nous créons une ambiance réconfortante."
"Das Büro ist in der Regel offen:","Le secrétariat est généralement ouvert :"
"Das ist dein 1. Deutsch-Kurs.","C'est ton 1er cours d'allemand."
"Das ist dein 2. Deutsch-Kurs.","C'est ton 2e cours d'allemand."
"Das ist dein 3. Kurs.","C'est ton 3e cours."
"Das ist dein 4. Kurs.","C'est ton 4e cours."
"Das sind vor allem:","Il s'agit surtout :"
"Dein 5., 6. oder 7. Deutsch-Kurs.","Ton 5e, 6e ou 7e cours d'allemand."
"den Brief vom Rechtsanwalt/von der Rechtsanwältin.","la lettre de votre avocat.e."
"Der Tag ist immer der erste Freitag im Monat.","C'est toujours le premier vendredi du mois."
"Deutschkurse","Cours d'allemand"
"Deutsch lernen","Apprendre l'allemand"
"Die Frauen*beratung der KuB richtet sich an **geflüchtete Frauen, die besonderen Schutz brauchen**.","La consultation de la KuB réservée aux femmes* s'adresse aux **femmes réfugiées qui ont besoin d'une protection particulière**."
"Die KuB ist Teil von dem „Berliner Netzwerk für besonders schutzbedürftige Flüchtlinge“ (BNS).","La KuB fait partie du « Berliner Netzwerk für besonders schutzbedürftige Flüchtlinge » (BNS, Réseau berlinois pour les réfugiés nécessitant une protection particulière)."
"Diese Menschen übersetzen dann für Sie von Deutsch in Ihre Sprache und umgekehrt.","Ces personnes traduisent dans votre langue ce qui est dit en allemand et inversement."
"Die Uhrzeit ist 15:30 Uhr.","L'horaire est 15 h 30."
"Du bist Mutter von einem kleinen Kind?","Tu as un enfant en bas âge ?"
"Du hast keine Probleme im Alltag.","Tu n'as pas de problèmes au quotidien."
