"Einladung zur Gesprächsgruppe","Invitation to a talking group"
"Es geht Ihnen nicht gut.","You are not doing well."
"Sie sind oft traurig.","You often feel sad."
"Sie haben zu viele Gedanken im Kopf.","You got to many thoughts in your mind."
"Sie kommen nicht zur Ruhe.","You never get a chance to come to rest."
"Sie fühlen sich hilflos.","You are feeling helpless."
"Sie fühlen sich einsam.","You are feeling lonely."
"Wollen Sie mit Menschen darüber reden, denen es ähnlich geht?","You want to talk to people with similar experiences?Sie fühlen sich einsam."
"Wir laden Sie zu einer gemütlichen Gesprächsrunde ein. Es gibt Tee und Kekse. Wir hören einander zu. Wir tauschen uns aus. Wir können voneinander lernen.","We are inviting you to a pleasant round of talks. We will have tea and cookies. We are listening to each other. We are exchanging experiences. We can learn from each other."
"Sind Sie neugierig?","Are you curious?"
"Dann kommen Sie am 16. Januar 2018 und am 30. Januar 2018 um 17 Uhr in die KuB, Oranienstraße 159, 10969 Berlin.","Then come join us. 1-16-2018 and 1-30-2018 at 5pm at KuB, Oranienstraße 159, 10969 Berlin."
"Sie können auch nur an einem der Termine kommen.","You can also just come on one of the days."
"Wenn Sie kommen möchten, schreiben Sie eine Mail an psb@kub-berlin.org oder melden Sie sich im Büro an.","If you want to come, please write a mail to psb@kub-berlin.org or sign up at our office."
"Teilen Sie uns bitte mit, welche Sprache Sie sprechen. Um die Übersetzung kümmern wir uns.","Let us know, which language you speak. We will organize translation."
"Sie können natürlich auch kommen, ohne uns vorher zu schreiben.","Of course you can also come without letting us know before."
