"Einladung zur Gesprächsgruppe","دعوت به تبادل تجربه"
"Es geht Ihnen nicht gut.","آیا احساس بدی دارید؟"
"Sie sind oft traurig.","آیا اغلب غمگین هستید؟"
"Sie haben zu viele Gedanken im Kopf.","آیا شما بیش از حد افکار دارید؟"
"Sie kommen nicht zur Ruhe.","آیا شما به ندرت استراحت می کنید؟"
"Sie fühlen sich hilflos.","آیا شما احساس ناراحتی میکنید؟"
"Sie fühlen sich einsam.","آیا شما اغلب احساس تنهایی می کنید؟"
"Wollen Sie mit Menschen darüber reden, denen es ähnlich geht?","می خواهید با افرادی که مشابه هستند صحبت کنید؟"
"Wir laden Sie zu einer gemütlichen Gesprächsrunde ein. Es gibt Tee und Kekse. Wir hören einander zu. Wir tauschen uns aus. Wir können voneinander lernen.","ما شما را به یک بحث راحت دعوت می کنیم. ما چای می نوشیم و به یکدیگر گوش می دهیم و شاید ما بتوانیم از یکدیگر یاد بگیریم و به یکدیگر کمک کنیم؟"
"Sind Sie neugierig?","آیا کنجکاو شده اید؟"
"Dann kommen Sie am 16. Januar 2018 und am 30. Januar 2018 um 17 Uhr in die KuB, Oranienstraße 159, 10969 Berlin.","پس به تاریخ 16 و30 ژانویه | جنوری | 2018 به ساعت 17 به محل KuB به آدرس Oranienstraße 159, 10969 Berlin بیایید."
"Sie können auch nur an einem der Termine kommen.","شما میتوانید هم تنها برای یک قرار یا وعده بیایید."
"Wenn Sie kommen möchten, schreiben Sie eine Mail an psb@kub-berlin.org oder melden Sie sich im Büro an.","اگر می خواهیدپیش ما بیایید، برای ما به این آدرس ایمیل بنویسید psb@kub-berlin.org  یا به دفتر ما برای معرفی بیایید."
"Teilen Sie uns bitte mit, welche Sprache Sie sprechen. Um die Übersetzung kümmern wir uns.","لطفا به ما اطلاع دهید که شما به کدام زبان صحبت میکنید. ما ترجمان موردضرورت را آماده میکنیم. "
"Sie können natürlich auch kommen, ohne uns vorher zu schreiben.","البته شما میتوانید هم بدون ثبت نام شرکت کنید‬‪.‬‬"
