"Einladung zur Gesprächsgruppe",""
"Es geht Ihnen nicht gut.",""
"Sie sind oft traurig.",""
"Sie haben zu viele Gedanken im Kopf.",""
"Sie kommen nicht zur Ruhe.",""
"Sie fühlen sich hilflos.",""
"Sie fühlen sich einsam.","Vous vous sentez seuls?"
"Wollen Sie mit Menschen darüber reden, denen es ähnlich geht?",""
"Wir laden Sie zu einer gemütlichen Gesprächsrunde ein. Es gibt Tee und Kekse. Wir hören einander zu. Wir tauschen uns aus. Wir können voneinander lernen.",""
"Sind Sie neugierig?","Vous êtes curieux?"
"Dann kommen Sie am 16. Januar 2018 und am 30. Januar 2018 um 17 Uhr in die KuB, Oranienstraße 159, 10969 Berlin.",""
"Sie können auch nur an einem der Termine kommen.",""
"Wenn Sie kommen möchten, schreiben Sie eine Mail an psb@kub-berlin.org oder melden Sie sich im Büro an.",""
"Teilen Sie uns bitte mit, welche Sprache Sie sprechen. Um die Übersetzung kümmern wir uns.",""
"Sie können natürlich auch kommen, ohne uns vorher zu schreiben.",""
