"lang","en"
"dateFormat","Y-m-d"
"Table_intro","In this list you can see the current adverts. If you find a match, you can just go ahead an write this person a message."
"Table_filtern","filter"
"Table_Title ","Table"
"Table_col_name","Name"
"Table_col_spracheAng","Offered Language"
"Table_col_spracheGes","Requested Language"
"Table_col_datum","Activated on"
"Table_col_ort","City"
"Table_filter_alle","all"
"Add_intro","You could not find a matching advert? Just enlist your own tandem-wish."
"Add_name","Your Name"
"Add_email","Your e-mail address"
"Add_email_nochmal","Repeat e-mail address"
"Add_alter","Your Age"
"Add_ort","Your place of residency"
"Add_geschlecht","Your Gender"
"Add_skills","How good can you speek your requested Language?"
"Add_skills_0","just a bit"
"Add_skills_1","intermediate"
"Add_skills_2","good"
"Add_skills_3","very good"
"Add_spracheAng","Your offered Language"
"Add_spracheGes","Your requested Language"
"Add_beschreibung","Tell us about yourself"
"Add_senden","send"
"Add_email_subject","%s Language Tandem: Your advert"
"Add_notification_email","Hello %s,

We are happy that you have posted an advert on %s-Language-Tandem. To activate your offer, please click here:
%s

People interested in your offer can now contact you via our portal. We will forward requests with contact details to you. Then you will be able to decide whether to conatct the person directly.

Language Tandem provided by KuB aims to enable interactions free of discrimination. It matters to us that personal privacy and boundaries are respected. Sexual content is not appropriate for Language Tandem! It is not a platform for finding a partner! It can happen that someone does not abide by the rules. Therefore, please don't give any important data to people you don't know. Only provide your address, phone number or name if you trust the other person. It is safer to have your first meeting online. You can use platforms like Jitsi: https://meet.systemli.org
If you have any negative experiences at a meeting, please report this to: sprachtandem@kub-berlin.org

We wish you lots of success and fun with %s-Language-Tandem!

Best wishes,

%s-Language-Tandem-Team



You can delete your advert via the following link:
%s

You can edit your advert via the following link:
%s

If you have questions or suggestions, please contact us via the following email address: %s"
"Add_datenschutz","I agree that my data such as name and email address will be saved. This data will only be used to drive the KuB Language Tandem. "
"Add_ausfuellen","Please fill in all fields, enter a correct e-mail address and accept the privacy terms."
"Add_Title","Add Advert"
